section,batch,size,callnr,title,author
Cartoons,0,Small,6,My Name Is Grover,Tish Rabe
Cartoons,0,Large,7,Barney's Favorite Mother Goose Rhymes,Stephen White
Cartoons,0,Large,7,Barney's Favorite Mother Goose Rhymes,Stephen White
Cartoons,0,Medium,7,Totally Spies: Dolls of Danger,Lara Bergen
Cartoons,0,Medium,7,Totally Spies: Dolls of Danger,Lara Bergen
Cartoons,0,Small,7,Star Wars Vader y su princesa,Jeffrey Brown
Cartoons,0,Small,7,Starwars: Vader y su princesa,Jeffrey Brown
Cartoons,0,Large,8,Star Wars: Tell-A-Story Sticker Book,Lucasfilm Ltd.
Cartoons,0,Large,8,Star Wars: Tell A Story Sticker Book,"Golden Books Publishing Company, Inc."
Cartoons,0,Medium,8,Dora the Explorer: Dora's First Trip,Molly Reisner
Cartoons,0,Medium,8,Dora's First Trip,Molly Reisner
Cartoons,0,Small,8,Nintendo Adventure Books: Monster Mix-Up,Bill McCay
Cartoons,0,Small,8,Monster Mix-Up,Bill McCay
Cartoons,0,Large,9,Shaun the Sheep Sticker Scene Book,Aardman Animations Ltd.
Cartoons,0,Large,9,Shaun The Sheep: Sticker Scene Book,Egmont UK Limited
Cartoons,0,Medium,9,Hello Kitty: My Little Angel,Paul Coco
Cartoons,0,Medium,9,Hello Kitty: My Little Angel,Paul Coco
Cartoons,0,Small,9,Elmo's World: Animals!,Random House
Cartoons,0,Small,9,Animals!,"Random House, Inc."
Disney,0,Large,1,A Bug's Life: The Not-So-Perfect Picnic,Greg Ehrbar
Disney,0,Medium,1,Duck Tales: The Secret City Under the Sea,Paul S. Newman
Disney,0,Small,1,That's So Raven: Over the Top,Alice Alfonsi
Disney,0,Medium,10,102 Dalmatians,Golden Books Publishing Company Inc.
Disney,0,Large,11,Pooh: Cozy Beds,Ronald Kidd
Disney,0,Medium,11,Winnie the Pooh and Tigger Too,Sands Print Group
Disney,0,Small,11,"Ariel Learns a Lesson"" Kindness Counts ","Disney Enterprises, Inc."
Disney,0,Large,12,Pooh: Rabbit's Ears,Ann Braybrooks
Disney,0,Medium,12,Little Einsteins: The Legend of the Golden Pyramid,Marcy Kelman
Disney,0,Small,12,"Toy Story: Knock, Knock",Veronica Wagner
Disney,0,Large,13,Pooh: Good as Gold,Ann Braybrooks
Disney,0,Medium,13,Snapshot Safari,Armus Flick
Disney,0,Small,13,Mickey Mouse: Mickey's Christmas Carol,Elizabeth Spurr
Disney,0,Large,14,Pooh: The Perfect Pet,Ronald Kidd
Disney,0,Medium,14,Winnie the Pooh: Eeyore Be Happy,Don Ferguson
Disney,0,Small,14,Lady and the Tramp: Lady's Christmas Surprise ,Elizabeth Spurr
Disney,0,Large,15,Sleeping Beauty,Ron Dias
Disney,0,Medium,15,Cinderella,Golden Books Publishing Company Inc.
Disney,0,Small,15,Bambi: The Wonderful Winter Tree,Elizabeth Spurr
Disney,0,Large,16,Snow White,Daphne Skinner
Disney,0,Medium,16,Sleeping Beauty,"Straight Lines International, Inc."
Disney,0,Small,16,Mickey Mouse Clubhouse: Colors All Around,Sheila Sweeny Higginson
Disney,0,Large,17,Pooh: Anytime Stories Collection,"Rita Balducci, Jamie Simons, & Sheryl Kahn"
Disney,0,Medium,17,Snow White and the Seven Dwarves,Golden Books Publishing Company Inc.
Disney,0,Small,17,Peter Pan,Ladybird
Disney,0,Large,18,Tangled: Rapunzel's Dream,Olivia London
